Disease,Description
Fungal Infection,"Fungal infection is a common skin condition caused by fungi."
Allergy,"An allergy is an immune reaction to a substance, leading to symptoms like sneezing, itching, or swelling."
GERD,"GERD (Gastroesophageal Reflux Disease) is a digestive disorder where stomach acid flows back into the esophagus, causing heartburn."
Chronic Cholestasis,"Chronic cholestasis is a long-term condition where bile flow from the liver is reduced or blocked, leading to liver problems."
Drug Reaction,"A drug reaction is an adverse response to a medication, which may cause rashes or other symptoms."
Peptic Ulcer Disease,"Peptic ulcer disease involves sores in the lining of the stomach or small intestine, often causing pain and discomfort."
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is caused by the HIV virus and severely weakens the immune system."
Diabetes,"Diabetes is a metabolic disorder characterized by high blood sugar due to problems with insulin production or function."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, resulting in diarrhea, vomiting, and abdominal pain."
Bronchial Asthma,"Bronchial asthma is a chronic respiratory condition that causes inflammation and narrowing of the airways, leading to breathing difficulties."
Hypertension,"Hypertension (high blood pressure) is a condition where the force of blood against artery walls is consistently too high."
Migraine,"Migraine is a severe headache often accompanied by nausea, light sensitivity, and sometimes visual disturbances."
Cervical Spondylosis,"Cervical spondylosis is an age-related wear and tear affecting the neck’s spinal disks, causing pain and stiffness."
Paralysis (Brain Hemorrhage),"Paralysis due to brain hemorrhage is a loss of muscle function resulting from bleeding in the brain."
Jaundice,"Jaundice is characterized by yellowing of the skin and eyes, usually due to liver dysfunction."
Malaria,"Malaria is a mosquito-borne disease that causes fever, chills, and flu-like symptoms."
Chickenpox,"Chickenpox is a contagious viral infection that results in an itchy rash and red spots or blisters."
Dengue,"Dengue is a viral disease transmitted by mosquitoes, leading to high fever, severe headache, joint pain, and sometimes bleeding."
Typhoid,"Typhoid is a bacterial infection causing high fever, weakness, and abdominal pain, typically spread by contaminated food or water."
Hepatitis A,"Hepatitis A  is an acute liver infection spread through contaminated food or water."
Hepatitis B,"Hepatitis B is a viral liver infection transmitted through blood or body fluids, which can become chronic."
Hepatitis C,"Hepatitis C is a liver infection caused by the hepatitis C virus, often leading to long-term liver damage."
Hepatitis D,"Hepatitis D is a liver infection that occurs only in people infected with hepatitis B, making the illness more severe."
Hepatitis E,"Hepatitis E is an acute liver infection transmitted mainly through contaminated water."
Alcoholic Hepatitis,"Alcoholic hepatitis is an inflammation of the liver due to excessive alcohol consumption."
Tuberculosis,"Tuberculosis is a bacterial infection that primarily affects the lungs, causing cough, fever, and weight loss."
Common Cold,"The common cold is a viral infection of the upper respiratory tract, resulting in sneezing, runny nose, and sore throat."
Pneumonia,"Pneumonia is a lung infection that inflames the air sacs, causing cough, fever, and breathing difficulties."
Dimorphic Hemorrhoids (Piles),"Dimorphic hemorrhoids (piles) are swollen veins in the rectal area, which can cause pain and bleeding."
