Disease,Diet
Fungal Infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']"
Chronic Cholestasis,"['Low-Fat Diet', 'High-Fiber Foods', 'Antioxidant-Rich Foods', 'Vitamin-Rich Vegetables', 'Omega-3-rich Foods']"
Drug Reaction,"['Anti-Inflammatory Diet', 'Fresh Fruits', 'Leafy Greens', 'Probiotic Foods', 'Hydration']"
Peptic Ulcer Disease,"['Bland Diet', 'High-Fiber Foods', 'Probiotic Foods', 'Low-Acid Foods', 'Small, Frequent Meals']"
AIDS,"['Nutrient-Dense Diet', 'High-Protein Foods', 'High-Calorie Foods', 'Vitamin-Rich Foods', 'Fresh Fruits & Vegetables']"
Diabetes,"['Low Glycemic Diet', 'High-Fiber Foods', 'Whole Grains', 'Low-Sugar Foods', 'Lean Proteins']"
Gastroenteritis,"['BRAT Diet', 'Clear Liquids', 'Easily Digestible Foods', 'Probiotic Foods', 'Oral Rehydration Solutions']"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich Foods', 'Antioxidant-Rich Foods', 'Low-Sodium Foods', 'Fresh Produce']"
Hypertension,"['DASH Diet', 'Low-Sodium Foods', 'High-Potassium Foods', 'Whole Grains', 'Lean Proteins']"
Migraine,"['Elimination Diet', 'Magnesium-Rich Foods', 'Hydration', 'Low-Tyramine Foods', 'Anti-Inflammatory Foods']"
Cervical Spondylosis,"['Anti-Inflammatory Diet', 'Calcium-Rich Foods', 'Vitamin D-Rich Foods', 'Omega-3-rich Foods', 'Leafy Greens']"
Paralysis (Brain Hemorrhage),"['Nutrient-Dense Diet', 'High-Protein Foods', 'Omega-3-rich Foods', 'Antioxidant-Rich Foods', 'Whole Grains']"
Jaundice,"['Liver-Friendly Diet', 'Low-Fat Foods', 'High-Fiber Foods', 'Antioxidant-Rich Foods', 'Fresh Fruits & Vegetables']"
Malaria,"['Nutritious Diet', 'High-Calorie Foods', 'Hydration', 'Vitamin-Rich Foods', 'Easily Digestible Foods']"
Chickenpox,"['Soft Diet', 'Cool Foods', 'Hydration', 'Vitamin-Rich Foods', 'Probiotic Foods']"
Dengue,"['Hydrating Diet', 'High-Calorie Foods', 'Vitamin C-Rich Foods', 'Easily Digestible Foods', 'Electrolyte-Rich Foods']"
Typhoid,"['Bland Diet', 'Easily Digestible Foods', 'Oral Rehydration', 'Probiotic Foods', 'High-Calorie Foods']"
Hepatitis A,"['Liver-Friendly Diet', 'Low-Fat Foods', 'High-Fiber Foods', 'Fresh Fruits & Vegetables', 'Hydration']"
Hepatitis B,"['Liver-Friendly Diet', 'Low-Fat Foods', 'High-Fiber Foods', 'Fresh Vegetables', 'Vitamin-Rich Foods']"
Hepatitis C,"['Liver-Friendly Diet', 'Low-Fat Foods', 'High-Fiber Foods', 'Fresh Fruits', 'Hydration']"
Hepatitis D,"['Liver-Friendly Diet', 'Low-Fat Foods', 'High-Fiber Foods', 'Antioxidant-Rich Foods', 'Hydration']"
Hepatitis E,"['Liver-Friendly Diet', 'Low-Fat Foods', 'High-Fiber Foods', 'Fresh Fruits & Vegetables', 'Hydration']"
Alcoholic Hepatitis,"['Liver-Friendly Diet', 'High-Protein Foods', 'Low-Fat Foods', 'Fresh Fruits', 'Nutrient-Dense Diet']"
Tuberculosis,"['High-Protein Diet', 'High-Calorie Foods', 'Nutrient-Dense Diet', 'Fresh Fruits & Vegetables', 'Whole Grains']"
Common Cold,"['Immune-Boosting Diet', 'Vitamin C-Rich Foods', 'Warm Broths', 'Herbal Teas', 'Hydration']"
Pneumonia,"['Nutritious Diet', 'High-Protein Foods', 'Hydration', 'Fresh Vegetables', 'Whole Grains']"
Dimorphic Hemorrhoids (Piles),"['High-Fiber Diet', 'Hydration', 'Fresh Fruits', 'Whole Grains', 'Low-Spice Foods']"
Heart Attack,"['Heart-Healthy Diet', 'Low-Sodium Foods', 'Low-Fat Diet', 'High-Fiber Foods', 'Omega-3-rich Foods']"
Varicose Veins,"['Anti-Inflammatory Diet', 'High-Fiber Foods', 'Hydration', 'Vitamin-Rich Foods', 'Low-Sodium Foods']"
Hypothyroidism,"['Iodine-Rich Diet', 'Selenium-Rich Foods', 'Low Glycemic Diet', 'Whole Grains', 'Fresh Produce']"
Hyperthyroidism,"['Low-Iodine Diet', 'High-Calorie Foods', 'Balanced Diet', 'Hydration', 'Fresh Vegetables']"
Hypoglycemia,"['Frequent Small Meals', 'Complex Carbohydrates', 'Fiber-Rich Foods', 'Lean Proteins', 'Low-Sugar Snacks']"
Osteoarthritis,"['Anti-Inflammatory Diet', 'Omega-3-rich Foods', 'Calcium-Rich Foods', 'Vitamin D-Rich Foods', 'Fresh Produce']"
Arthritis,"['Anti-Inflammatory Diet', 'Omega-3-rich Foods', 'Antioxidant-Rich Foods', 'Gluten-Free Foods', 'Fresh Vegetables']"
Paroxysmal Positional Vertigo,"['Hydration', 'Low-Sodium Diet', 'Anti-Inflammatory Foods', 'Fresh Produce', 'Whole Grains']"
Acne,"['Low Glycemic Diet', 'Antioxidant-Rich Foods', 'Zinc-Rich Foods', 'Omega-3-rich Foods', 'Fresh Produce']"
Urinary Tract Infection,"['Hydration', 'Cranberry Juice', 'Vitamin C-Rich Foods', 'Probiotic Foods', 'Herbal Teas']"
Psoriasis,"['Anti-Inflammatory Diet', 'Omega-3-rich Foods', 'Gluten-Free Foods', 'Vitamin D-Rich Foods', 'Fresh Produce']"
Impetigo,"['Immune-Boosting Diet', 'Vitamin C-Rich Foods', 'Probiotic Foods', 'Hydration', 'Fresh Produce']"
