Disease,Specialist
Fungal Infection,Dermatologist
Allergy,Allergist
GERD,Gastroenterologist
Chronic Cholestasis,Hepatologist
Drug Reaction,Dermatologist
Peptic Ulcer Disease,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical Spondylosis,Orthopedic Specialist
Paralysis (Brain Hemorrhage),Neurologist
Jaundice,Hepatologist
Malaria,Infectious Disease Specialist
Chickenpox,Pediatrician
Dengue,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
Hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic Hepatitis,Hepatologist
Tuberculosis,Pulmonologist
Common Cold,General Physician
Pneumonia,Pulmonologist
Dimorphic Hemorrhoids (Piles),Colorectal Surgeon
Heart Attack,Cardiologist
Varicose Veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthritis,Orthopedic Specialist
Arthritis,Rheumatologist
Paroxysmal Positional Vertigo,ENT Specialist
Acne,Dermatologist
Urinary Tract Infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
Fever,General Physician
Headache,Neurologist
Muscle Fatigue,General Physician
Flu,General Physician
Food Poisoning,Gastroenterologist
COVID-Like Illness,Infectious Disease Specialist
Sinusitis,ENT Specialist
Allergic Rhinitis,Allergist
Strep Throat,ENT Specialist
Tonsillitis,ENT Specialist
Anemia,Hematologist
Bronchitis,Pulmonologist
Dehydration,General Physician
Heat Exhaustion,General Physician
Insomnia,Psychiatrist
Anxiety Disorder,Psychiatrist
Food Allergy,Allergist
Lactose Intolerance,Gastroenterologist
Acid Reflux,Gastroenterologist
