disease,workout
Fungal Infection,Avoid Sugary Foods
Fungal Infection,Consume Probiotics
Fungal Infection,Increase Intake Of Garlic
Fungal Infection,Include Yogurt In Diet
Fungal Infection,Limit Processed Foods
Fungal Infection,Stay Hydrated
Fungal Infection,Consume Green Tea
Fungal Infection,Reduce Refined Carbohydrates
Allergy,Avoid Allergenic Foods
Allergy,Consume Anti-Inflammatory Foods
Allergy,Include Omega-3 Fatty Acids
Allergy,Eat Foods Rich In Vitamin C
Allergy,Include Quercetin-Rich Foods
Allergy,Consume Local Honey
Allergy,Limit Processed Foods
Allergy,Avoid Artificial Additives
GERD,Eat Small Frequent Meals
GERD,Avoid Trigger Foods
GERD,Choose Low-Acid Foods
GERD,Include Fiber-Rich Foods
GERD,Avoid Spicy And Fried Foods
GERD,Limit Caffeine Intake
GERD,Stay Upright After Eating
GERD,Maintain A Healthy Weight
Chronic Cholestasis,Follow A Low-Fat Diet
Chronic Cholestasis,Consume High-Fiber Foods
Chronic Cholestasis,Increase Antioxidant Intake
Chronic Cholestasis,Avoid Alcohol Consumption
Chronic Cholestasis,Stay Hydrated
Chronic Cholestasis,Include Omega-3 Rich Foods
Chronic Cholestasis,Reduce Saturated Fats
Chronic Cholestasis,Limit Processed Foods
Drug Reaction,Avoid Known Triggers
Drug Reaction,Consume Antioxidant-Rich Foods
Drug Reaction,Stay Hydrated
Drug Reaction,Include Anti-Inflammatory Foods
Drug Reaction,Eat Light Meals
Drug Reaction,Avoid Processed Foods
Drug Reaction,Increase Fruit Intake
Drug Reaction,Follow A Balanced Nutrition
Peptic Ulcer Disease,Avoid Spicy Foods
Peptic Ulcer Disease,Consume Bland Diet
Peptic Ulcer Disease,Eat Small Frequent Meals
Peptic Ulcer Disease,Include Easily Digestible Foods
Peptic Ulcer Disease,Avoid Caffeine And Alcohol
Peptic Ulcer Disease,Stay Hydrated
Peptic Ulcer Disease,Avoid Late-Night Eating
Peptic Ulcer Disease,Incorporate Fiber-Rich Foods
AIDS,Consume Nutrient-Dense Foods
AIDS,Increase Protein Intake
AIDS,Include Fresh Fruits And Vegetables
AIDS,Stay Hydrated
AIDS,Incorporate Whole Grains
AIDS,Choose Lean Protein Sources
AIDS,Avoid Processed Foods
AIDS,Follow A Balanced Diet
Diabetes,Follow Low Glycemic Index Foods
Diabetes,Monitor Carbohydrate Intake
Diabetes,Consume High-Fiber Foods
Diabetes,Limit Sugary Snacks
Diabetes,Include Lean Protein Sources
Diabetes,Choose Whole Grains
Diabetes,Avoid Processed Foods
Diabetes,Maintain Regular Meal Timings
Gastroenteritis,Stay Hydrated
Gastroenteritis,Follow BRAT Diet
Gastroenteritis,Avoid Dairy Products Initially
Gastroenteritis,Consume Easily Digestible Foods
Gastroenteritis,Take Small Frequent Meals
Gastroenteritis,Replenish Electrolytes
Gastroenteritis,Avoid Spicy Foods
Gastroenteritis,Allow Your Stomach To Rest
Bronchial Asthma,Follow Anti-Inflammatory Diet
Bronchial Asthma,Avoid Dairy If Mucus Increases
Bronchial Asthma,Increase Omega-3 Intake
Bronchial Asthma,Consume Antioxidant-Rich Foods
Bronchial Asthma,Avoid Processed Foods
Bronchial Asthma,Include Fresh Fruits And Vegetables
Bronchial Asthma,Stay Hydrated
Bronchial Asthma,Maintain Healthy Weight
Hypertension,Follow DASH Diet
Hypertension,Limit Sodium Intake
Hypertension,Increase Potassium-Rich Foods
Hypertension,Consume Whole Grains
Hypertension,Eat Fresh Fruits And Vegetables
Hypertension,Avoid Saturated Fats
Hypertension,Stay Hydrated
Hypertension,Limit Alcohol Consumption
Migraine,Avoid Common Trigger Foods
Migraine,Maintain Regular Meal Schedule
Migraine,Stay Hydrated
Migraine,Include Magnesium-Rich Foods
Migraine,Consume Omega-3 Fatty Acids
Migraine,Limit Caffeine And Alcohol
Migraine,Choose Anti-Inflammatory Foods
Migraine,Consider Elimination Diet
Cervical Spondylosis,Consume Calcium-Rich Foods
Cervical Spondylosis,Include Vitamin D Sources
Cervical Spondylosis,Eat Anti-Inflammatory Foods
Cervical Spondylosis,Maintain Balanced Diet
Cervical Spondylosis,Include Omega-3 Fatty Acids
Cervical Spondylosis,Stay Hydrated
Cervical Spondylosis,Limit Processed Foods
Cervical Spondylosis,Avoid Excessive Weight
Paralysis (Brain Hemorrhage),Consume Protein-Rich Foods
Paralysis (Brain Hemorrhage),Include Antioxidant-Rich Foods
Paralysis (Brain Hemorrhage),Maintain Adequate Hydration
Paralysis (Brain Hemorrhage),Follow Nutrient-Dense Diet
Paralysis (Brain Hemorrhage),Eat Whole Grains
Paralysis (Brain Hemorrhage),Incorporate Fresh Fruits And Vegetables
Paralysis (Brain Hemorrhage),Limit Processed Foods
Paralysis (Brain Hemorrhage),Follow Specialist Dietary Advice
Jaundice,Follow Liver-Friendly Diet
Jaundice,Avoid Alcohol Consumption
Jaundice,Reduce Fat Intake
Jaundice,Increase Fresh Fruits And Vegetables
Jaundice,Stay Hydrated
Jaundice,Consume Antioxidant-Rich Foods
Jaundice,Limit Processed Foods
Jaundice,Monitor Protein Intake
Malaria,Increase Fluid Intake
Malaria,Consume Iron-Rich Foods
Malaria,Eat Light Meals
Malaria,Include Vitamin C-Rich Foods
Malaria,Avoid Oily Foods
Malaria,Incorporate Fresh Fruits
Malaria,Maintain Balanced Diet
Malaria,Avoid Sugary Drinks
Chickenpox,Eat Soft Foods
Chickenpox,Stay Hydrated
Chickenpox,Increase Vitamin A Intake
Chickenpox,Include Immune-Boosting Foods
Chickenpox,Consume Cool Foods
Chickenpox,Avoid Spicy Foods
Chickenpox,Eat Small Frequent Meals
Chickenpox,Follow Nutrient-Rich Diet
Dengue,Increase Fluid Intake
Dengue,Consume Electrolyte-Rich Foods
Dengue,Eat Vitamin C-Rich Foods
Dengue,Consume Fresh Juices
Dengue,Avoid Heavy Meals
Dengue,Include Easily Digestible Foods
Dengue,Maintain Balanced Diet
Dengue,Take Small Frequent Meals
Typhoid,Follow Bland Diet
Typhoid,Consume Easily Digestible Foods
Typhoid,Increase Fluid Intake
Typhoid,Take Oral Rehydration Solutions
Typhoid,Eat Small Frequent Meals
Typhoid,Avoid Spicy Foods
Typhoid,Include Probiotic Foods
Typhoid,Maintain Balanced Diet
Hepatitis A,Follow Liver-Friendly Diet
Hepatitis A,Avoid Fatty Foods
Hepatitis A,Increase Fresh Fruit Intake
Hepatitis A,Consume High-Fiber Foods
Hepatitis A,Stay Hydrated
Hepatitis A,Avoid Alcohol
Hepatitis A,Include Antioxidant-Rich Foods
Hepatitis A,Choose Lean Proteins
Hepatitis B,Follow Liver-Friendly Diet
Hepatitis B,Limit Fat Intake
Hepatitis B,Increase Vegetable Consumption
Hepatitis B,Stay Hydrated
Hepatitis B,Avoid Alcohol
Hepatitis B,Choose Lean Proteins
Hepatitis B,Consume High-Fiber Foods
Hepatitis B,Include Antioxidant-Rich Foods
Hepatitis C,Follow Liver-Friendly Diet
Hepatitis C,Avoid Fried Foods
Hepatitis C,Increase Intake Of Fresh Fruits
Hepatitis C,Consume High-Fiber Foods
Hepatitis C,Limit Processed Foods
Hepatitis C,Stay Hydrated
Hepatitis C,Avoid Alcohol Consumption
Hepatitis C,Choose Lean Proteins
Hepatitis C,Include High-Quality Protein
Hepatitis D,Follow Liver-Friendly Diet
Hepatitis D,Avoid Alcohol
Hepatitis D,Increase Vegetable Intake
Hepatitis D,Consume High-Fiber Foods
Hepatitis D,Limit Fat Intake
Hepatitis D,Stay Hydrated
Hepatitis D,Include Antioxidant-Rich Foods
Hepatitis D,Choose Lean Proteins
Hepatitis E,Follow Liver-Friendly Diet
Hepatitis E,Avoid Oily Foods
Hepatitis E,Increase Fresh Fruit And Vegetable Intake
Hepatitis E,Consume High-Fiber Foods
Hepatitis E,Stay Hydrated
Hepatitis E,Limit Salt Intake
Hepatitis E,Choose Lean Proteins
Hepatitis E,Include Antioxidant-Rich Foods
Alcoholic Hepatitis,Follow Strict Liver-Friendly Diet
Alcoholic Hepatitis,Abstain From Alcohol
Alcoholic Hepatitis,Increase Antioxidant-Rich Foods
Alcoholic Hepatitis,Consume High-Fiber Foods
Alcoholic Hepatitis,Increase Fresh Fruit And Vegetable Intake
Alcoholic Hepatitis,Stay Hydrated
Alcoholic Hepatitis,Choose Lean Proteins
Alcoholic Hepatitis,Avoid Processed Foods
Tuberculosis,Consume Nutrient-Dense Foods
Tuberculosis,Increase Protein Intake
Tuberculosis,Include Vitamin-Rich Foods
Tuberculosis,Stay Hydrated
Tuberculosis,Eat Whole Grains
Tuberculosis,Consume Fresh Fruits And Vegetables
Tuberculosis,Avoid Processed Foods
Tuberculosis,Take Small Frequent Meals
Common Cold,Increase Fluid Intake
Common Cold,Consume Vitamin C-Rich Foods
Common Cold,Eat Warm Broths
Common Cold,Include Immune-Boosting Foods
Common Cold,Stay Hydrated
Common Cold,Avoid Cold Foods
Common Cold,Eat Light Meals
Common Cold,Include Herbal Teas
Pneumonia,Eat Nutrient-Dense Foods
Pneumonia,Increase Fluid Intake
Pneumonia,Consume Immune-Boosting Foods
Pneumonia,Include Fresh Fruits And Vegetables
Pneumonia,Eat Light Meals
Pneumonia,Stay Hydrated
Pneumonia,Avoid Heavy Foods
Pneumonia,Choose Easily Digestible Options
Dimorphic Hemorrhoids (Piles),Increase Fiber Intake
Dimorphic Hemorrhoids (Piles),Stay Hydrated
Dimorphic Hemorrhoids (Piles),Consume Whole Grains
Dimorphic Hemorrhoids (Piles),Eat Fresh Fruits
Dimorphic Hemorrhoids (Piles),Avoid Spicy Foods
Dimorphic Hemorrhoids (Piles),Include Probiotic Foods
